Gene,object_SRR24886407,object_SRR24886411,object_SRR24886417,object_SRR24886420,object_SRR24886421,object_SRR24886422,average_percent,SD_percent,Mean-SD,Mean+SD,Sum
Large Subunit Ribosomal RNA%3B lsuRNA%3B LSU rRNA,0.417703319,0.490276412,0.519867101,0.252233534,0.221459982,0.49066874,0.398701515,0.118851119,0.279850396,0.517552633,47346
Small Subunit Ribosomal RNA%3B ssuRNA%3B SSU rRNA,0.417078202,0.350267672,0.254509086,0.220029088,0.223746702,0.270217729,0.28930808,0.07154784,0.21776024,0.36085592,30567
putative secreted protein,0.041882853,0.050366,0.04193789,0.066486599,0.070712401,0.082532165,0.058986318,0.015306041,0.043680277,0.074292359,5886
NADH-ubiquinone oxidoreductase chain L (EC 1.6.5.3),0.037382009,0.020048072,0.02254543,0.018283815,0.022867194,0.006397568,0.021254015,0.00908637,0.012167645,0.030340384,2029
NADH-ubiquinone oxidoreductase chain F (EC 1.6.5.3),0.013189973,0.008194035,0.008713046,0.00664866,0.006156552,0.001237099,0.007356561,0.003558068,0.003798493,0.010914628,720
GenBank:CDS:NODE-134215+-length-13172-cov-40.7238:10102:10257,0.003688192,0.005025675,0.00444128,0.012050696,0.011433597,0.005513926,0.007025561,0.00338585,0.003639711,0.010411411,561
Chaperone protein DnaK,0.007501407,0.007811646,0.010374288,0.006025348,0.006332454,0.000989679,0.006505804,0.002838724,0.003667079,0.009344528,662
GenBank:CDS:NODE-304566+-length-5508-cov-33.0974:4639:4821,0.000625117,0.001092538,0.000983184,0.010596302,0.008795075,0.001519864,0.003935347,0.004114492,-0.000179146,0.008049839,203
NADH-ubiquinone oxidoreductase chain I (EC 1.6.5.3),0.008501594,0.004807167,0.002542718,0.001246624,0.001759015,0.000671568,0.003254781,0.002689144,0.000565637,0.005943925,334
GenBank:CDS:NODE-12489+-length-82087-cov-16.8551:12493:14304,0.00181284,0.001529553,0.001695145,0.002908789,0.003166227,0.00180263,0.002152531,0.000637002,0.001515529,0.002789533,190
NAD-specific glutamate dehydrogenase (EC 1.4.1.2)%2C large form,0.00037507,0.00071015,0.001254407,0.00332433,0.004573439,0.001590556,0.001971325,0.001494388,0.000476938,0.003465713,143
Aconitate hydratase (EC 4.2.1.3),0.00037507,0.000382388,0.001356116,0.003947642,0.002814424,0.001625901,0.001750257,0.001284132,0.000466125,0.003034389,134
unknown,0.000562605,0.000109254,0.000406835,0.004570954,0.004045734,0.000777605,0.001745498,0.001829374,-8.3876E-05,0.003574872,90
Outer surface protein,0.000312559,0.000382388,0.001220504,0.003532101,0.003693931,0.001166407,0.001717982,0.001384807,0.000333175,0.001667698,119
Flagellar basal-body rod modification protein FlgD,0.000437582,0.000546269,0.001796854,0.002285477,0.003693931,0.000883642,0.001607293,0.001145105,0.000462188,0.002752398,127
NADH-ubiquinone oxidoreductase chain B (EC 1.6.5.3),0.003188098,0.00158418,0.002068077,0.000623312,0.001583113,0.000530185,0.001596161,0.000898148,0.000698013,0.002494309,168
putative S-layer protein,0.000250047,5.46269E-05,3.39029E-05,0.00332433,0.004045734,0.001237099,0.001490957,0.001616503,-0.000125547,0.00310746,80
GenBank:CDS:NODE-322767+-length-109172-cov-17.173:92428:94011,0.000562605,0.000600896,6.78058E-05,0.002908789,0.00351803,0.001237099,0.001482537,0.001282101,0.000200437,0.002764638,91
RNA polymerase sigma factor RpoH,0.000250047,0.000600896,0.001729048,0.003739871,0.001759015,0.000706914,0.001464298,0.00116395,0.000300348,0.002628249,114
GenBank:CDS:NODE-224278+-length-13815-cov-21.0001:11534:11989,0.000687629,0.000928657,0.000915378,0.001869936,0.002814424,0.001449173,0.001444199,0.000727625,0.000716575,0.002171824,121
SSU ribosomal protein S1p,0.00037507,0.000218508,0.000915378,0.002077706,0.003869833,0.001025025,0.001413587,0.001250341,0.000163245,0.001973917,98
tRNA (Guanine37-N1) -methyltransferase (EC 2.1.1.31),0.000625117,0.000819403,0.001186602,0.002077706,0.003166227,0.000565531,0.001406764,0.000936125,0.000470639,0.00234289,104
GenBank:CDS:NODE-86943+-length-61710-cov-17.7779:22744:25020,0.000250047,0.000491642,0.001186602,0.001869936,0.003693931,0.000742259,0.001372403,0.001162186,0.000210217,0.002534589,99
2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2),0.000250047,0.000273134,0.000847573,0.002908789,0.002990325,0.000812951,0.001347136,0.001156924,0.000190213,0.00250406,88
Translation elongation factor Tu,0.00037507,0.000109254,0.001220504,0.002493247,0.002638522,0.000777605,0.001269034,0.000979993,0.000289041,0.002249027,93
Outer membrane receptor proteins%2C mostly Fe transport,0.000187535,0.000382388,0.001322213,0.002493247,0.001759015,0.000954333,0.001183122,0.000790795,0.000392327,0.002663928,98
