Gene,object_SRR24886407,object_SRR24886411,object_SRR24886417,object_SRR24886420,object_SRR24886421,object_SRR24886422,Sum
Large Subunit Ribosomal RNA%3B lsuRNA%3B LSU rRNA,6682,8975,15334,1214,1259,13882,47346
Small Subunit Ribosomal RNA%3B ssuRNA%3B SSU rRNA,6672,6412,7507,1059,1272,7645,30567
putative secreted protein,670,922,1237,320,402,2335,5886
NADH-ubiquinone oxidoreductase chain L (EC 1.6.5.3),598,367,665,88,130,181,2029
NADH-ubiquinone oxidoreductase chain F (EC 1.6.5.3),211,150,257,32,35,35,720
Chaperone protein DnaK,120,143,306,29,36,28,662
GenBank:CDS:NODE-134215+-length-13172-cov-40.7238:10102:10257,59,92,131,58,65,156,561
NADH-ubiquinone oxidoreductase chain I (EC 1.6.5.3),136,88,75,6,10,19,334
GenBank:CDS:NODE-304566+-length-5508-cov-33.0974:4639:4821,10,20,29,51,50,43,203
GenBank:CDS:NODE-12489+-length-82087-cov-16.8551:12493:14304,29,28,50,14,18,51,190
NADH-ubiquinone oxidoreductase chain B (EC 1.6.5.3),51,29,61,3,9,15,168
NAD-specific glutamate dehydrogenase (EC 1.4.1.2)%2C large form,6,13,37,16,26,45,143
Aconitate hydratase (EC 4.2.1.3),6,7,40,19,16,46,134
Flagellar basal-body rod modification protein FlgD,7,10,53,11,21,25,127
GenBank:CDS:NODE-224278+-length-13815-cov-21.0001:11534:11989,11,17,27,9,16,41,121
Conserved protein,9,21,66,4,7,12,119
Outer surface protein,5,7,36,17,21,33,119
RNA polymerase sigma factor RpoH,4,11,51,18,10,20,114
tRNA (Guanine37-N1) -methyltransferase (EC 2.1.1.31),10,15,35,10,18,16,104
GenBank:CDS:NODE-86943+-length-61710-cov-17.7779:22744:25020,4,9,35,9,21,21,99
Outer membrane receptor proteins%2C mostly Fe transport,3,7,39,12,10,27,98
SSU ribosomal protein S1p,6,4,27,10,22,29,98
Translation elongation factor Tu,6,2,36,12,15,22,93
GenBank:CDS:NODE-322767+-length-109172-cov-17.173:92428:94011,9,11,2,14,20,35,91
unknown,9,2,12,22,23,22,90
2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2),4,5,25,14,17,23,88
GenBank:CDS:NODE-322767+-length-109172-cov-17.173:47473:48117,6,14,24,10,12,19,85
GenBank:CDS:NODE-185504+-length-28119-cov-16.5101:23201:23614,7,13,27,7,6,23,83
GenBank:CDS:NODE-219967+-length-44450-cov-17.0484:11915:13177,4,2,16,9,14,38,83
Translation elongation factor G,4,7,30,7,11,24,83
putative S-layer protein,4,1,1,16,23,35,80
GenBank:CDS:NODE-56431+-length-17225-cov-14.94:13812:17150,2,5,27,9,13,22,78
GenBank:CDS:NODE-12489+-length-82087-cov-16.8551:414:1736,4,6,17,8,19,22,76
Citrate synthase (si) (EC 2.3.3.1),4,6,16,10,10,28,74
DNA gyrase subunit B (EC 5.99.1.3),6,8,23,11,9,16,73
Myosin heavy chain,4,7,25,5,9,22,72
predicted protein,10,10,10,5,13,20,68
18K peptidoglycan-associated outer membrane lipoprotein%3B Peptidoglycan-associated lipoprotein precursor%3B Outer membrane protein P6%3B OmpA/MotB precursor,4,12,18,7,10,16,67
Lipid A export ATP-binding/permease protein MsbA-1,5,9,39,2,2,10,67
GenBank:CDS:NODE-322767+-length-109172-cov-17.173:41100:41387,13,8,21,3,9,12,66
GenBank:CDS:NODE-303417+-length-25225-cov-18.6888:6272:7285,0,2,23,7,15,18,65
Flagellin protein FlaA,3,1,21,9,13,17,64
Malate dehydrogenase (EC 1.1.1.37),3,4,30,1,11,15,64
DNA-directed RNA polymerase beta subunit (EC 2.7.7.6),1,2,21,12,11,17,64
ATP synthase beta chain (EC 3.6.3.14),6,16,23,8,5,5,63
Translation initiation factor 2,3,8,13,12,11,16,63
Protein export cytoplasm protein SecA ATPase RNA helicase (TC 3.A.5.1.1),4,5,15,10,16,12,62
ankyrin repeat protein%2C putative,3,6,7,15,10,20,61
GenBank:CDS:NODE-314913+-length-54470-cov-18.5139:50482:54318,2,5,10,15,15,13,60
GenBank:CDS:NODE-314913+-length-54470-cov-18.5139:22890:25508,5,4,17,8,10,14,58
LSU ribosomal protein L4p (L1e),1,5,28,7,8,9,58
ATPase required for both assembly of type IV secretion complex and secretion of T-DNA complex%2C VirB4-2,7,4,24,5,1,17,58
Conserved protein%2C with a weak D-galactarate dehydratase/altronate hydrolase domain-2,2,4,8,17,8,18,57
tRNA pseudouridine synthase B (EC 4.2.1.70),4,2,17,3,11,19,56
SSU ribosomal protein S4p (S9e),2,2,22,14,4,12,56
Thiol peroxidase%2C Bcp-type (EC 1.11.1.15),4,7,9,7,12,14,53
GenBank:CDS:NODE-36364+-length-27992-cov-18.5566:11160:12362,1,2,7,11,7,24,52
GenBank:CDS:NODE-185504+-length-28119-cov-16.5101:14387:14692,7,7,9,8,7,13,51
GenBank:CDS:NODE-219967+-length-44450-cov-17.0484:19569:20084,2,3,22,5,7,12,51
Phage replication initiation protein,5,0,11,5,9,21,51
SSU ribosomal protein S16p,0,4,9,7,7,24,51
Cell division trigger factor (EC 5.2.1.8),2,6,14,8,13,7,50
ATP synthase alpha chain (EC 3.6.3.14),11,7,16,5,5,6,50
TPR repeat containing exported protein%3B Putative periplasmic protein contains a protein prenylyltransferase domain,3,5,11,3,9,18,49
DNA-binding protein HU-beta-1,4,7,11,8,3,15,48
FIG005935: membrane protein-2,2,4,10,4,8,19,47
Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12),6,2,13,7,10,9,47
GenBank:CDS:NODE-134216+-length-6506-cov-39.8756:2254:2616,6,3,0,11,5,22,47
NADH-ubiquinone oxidoreductase chain G (EC 1.6.5.3),2,4,24,0,8,9,47
Chaperone protein HtpG,3,4,9,12,12,7,47
Rod shape-determining protein MreB,0,1,15,4,3,24,47
SSU ribosomal protein S12p (S23e),2,3,10,9,8,14,46
LSU ribosomal protein L2p (L8e),2,3,8,12,10,11,46
GenBank:CDS:NODE-205845+-length-54155-cov-18.7126:35823:37160,1,4,6,8,17,10,46
DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6),1,2,14,4,15,10,46
Kumamolysin,2,4,19,4,2,15,46
Threonyl-tRNA synthetase (EC 6.1.1.3),4,5,8,8,10,11,46
SSU ribosomal protein S9p (S16e),0,4,19,8,4,11,46
FOG: CheY-like receiver,0,5,18,8,6,7,44
Chromosome (plasmid) partitioning protein ParA-1,3,4,10,12,9,5,43
GenBank:CDS:NODE-185505+-length-86636-cov-17.7758:54906:55994,1,4,5,10,7,16,43
Flagellar M-ring protein FliF,1,1,9,6,14,11,42
ATP-dependent protease La (EC 3.4.21.53) Type I,4,7,8,3,6,13,41
GenBank:CDS:NODE-205845+-length-54155-cov-18.7126:17654:17779,2,1,10,10,6,12,41
Translation initiation factor 3,4,2,11,6,12,6,41
Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8),2,1,11,8,9,9,40
GenBank:CDS:NODE-314913+-length-54470-cov-18.5139:33173:33505,3,6,10,4,8,9,40
